,searched_company,company_type,job_id,min_salary,max_salary,gen_ai_flag,jobcat_flag_engineering_it,jobcat_flag_finance,jobcat_flag_hr_admin,jobcat_flag_legal,jobcat_flag_marketing,jobcat_flag_operations_cs,jobcat_flag_product_rnd,jobcat_flag_sales,nyc_flag,chi_flag,sf_flag,sea_flag,name,full_name,ticker,exchange,auditRisk,marketCap,totalRevenue,revenuePerShare,revenueGrowth,trailingEps,forwardEps,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice
84,Progressive,public,35,56942.857142857145,62528.57142857143,0.0,2,0,24,0,0,5,1,3,0,0,0,0,Progressive,Progressive,PGR,NYSE,4.0,138122526720.0,71959396352.0,122.934,0.267,13.76,13.8,235.78,339.0,151.0,277.7647,290.0
85,RLI,public,40,99636.30303030302,142985.60606060605,0.0,3,0,30,0,0,7,0,0,0,3,0,1,RLI,RLI Corp.,RLI,NYSE,1.0,6886513152.0,1764782976.0,38.608,0.417,9.09,6.38,150.29,200.0,175.0,186.4,185.0
86,Remitly,public,20,140500.0,165825.0,0.0,5,0,13,1,0,1,0,0,0,0,0,19,Remitly,Remitly Global Inc.,RELY,NASDAQ,5.0,4472217088.0,1176825984.0,6.146,0.393,-0.35,-0.04,22.58,30.0,18.0,25.44444,27.0
87,Riskified,startups,5,128000.0,150000.0,0.0,2,0,0,0,1,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,
88,Robinhood,public,79,116739.39393939394,176136.36363636365,0.0,11,0,49,11,3,3,2,0,16,7,0,0,Robinhood,Robinhood Markets Inc.,HOOD,NASDAQ,9.0,34996609024.0,2408000000.0,2.747,0.364,0.58,0.73,39.59,60.0,29.0,49.23529,51.0
89,Simply Business,startups,4,,,0.0,0,0,0,0,4,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
90,Snap! Mobile,startups,24,193000.0,300000.0,0.0,2,0,0,0,0,0,0,22,0,0,0,0,,,,,,,,,,,,,,,,
91,SoFi,public,87,117249.27536231885,209224.63768115942,0.06896551724137931,18,6,39,9,1,10,0,4,11,0,14,7,SoFi,SoFi Technologies Inc.,SOFI,NASDAQ,6.0,15268059136.0,2519211008.0,2.472,0.341,0.12,0.29,14.07,19.0,4.0,12.1,13.0
92,Square,startups,29,148568.42105263157,229331.7894736842,0.0,12,1,1,0,4,5,1,5,4,0,12,2,,,,,,,,,,,,,,,,
93,Stripe,startups,100,163598.0,251025.0,0.02,37,2,4,5,2,8,3,39,0,15,26,16,,,,,,,,,,,,,,,,
94,Supernova Technology,startups,7,76250.0,107500.0,0.0,4,0,2,0,0,1,0,0,0,7,0,0,,,,,,,,,,,,,,,,
95,Tegus,startups,1,,,0.0,0,0,0,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,
96,TransUnion,public,26,109538.09523809524,166761.90476190476,0.0,2,1,16,2,1,2,0,2,2,15,0,0,TransUnion,TransUnion,TRU,NYSE,9.0,17207721984.0,4101299968.0,21.124,0.12,1.14,4.56,88.29,135.0,101.0,118.88235,120.0
97,Triumph Financial,public,16,41488.0,59203.0,0.0,6,1,1,1,0,3,4,0,0,0,0,0,Triumph Financial,Triumph Financial Inc.,TFIN,NASDAQ,8.0,1987937536.0,398012000.0,17.123,-0.019,0.8,1.62,85.0,109.0,65.0,89.75,92.5
98,TrueML,startups,1,100000.0,120000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
