job_id,title,company,job_url,location,description_text,title_relevance,description_relevance
4073657779,Data Scientist / ML Engineer,"Paradyme, a CATHEXIS Company",https://www.linkedin.com/jobs/view/4073657779/,"Redwood City, CA",,10.0,
4177299292,AI Engineer,Structured Labs,https://www.linkedin.com/jobs/view/4177299292/,"San Francisco, CA",,10.0,
4152408073,Machine Learning Engineer,Fractal,https://www.linkedin.com/jobs/view/4152408073/,San Francisco Bay Area,,10.0,
4138003303,Data Scientist,Atticus,https://www.linkedin.com/jobs/view/4138003303/,"Los Angeles, CA",,10.0,
4136914258,Data Scientist,TextNow,https://www.linkedin.com/jobs/view/4136914258/,"San Francisco, CA",,10.0,
4176192563,Data Scientist,Slope,https://www.linkedin.com/jobs/view/4176192563/,"San Francisco, CA",,10.0,
4119089828,Machine Learning Engineer,TurbineOne,https://www.linkedin.com/jobs/view/4119089828/,"San Francisco, CA",,10.0,
4132937695,Data Science Co-Op,LiveRamp,https://www.linkedin.com/jobs/view/4132937695/,"San Francisco, CA",,10.0,
4181180886,Data Scientist,Ginger Labs,https://www.linkedin.com/jobs/view/4181180886/,"San Francisco, CA",,10.0,
4157964393,Data Scientist,Tubi,https://www.linkedin.com/jobs/view/4157964393/,"San Francisco, CA",,10.0,
3756813046,AI / ML Engineer,Sieve,https://www.linkedin.com/jobs/view/3756813046/,"San Francisco, CA",,10.0,
4181194912,Machine Learning Engineer,"CARIAD, Inc.",https://www.linkedin.com/jobs/view/4181194912/,"Mountain View, CA",,10.0,
4045408578,Entry Level Data Scientist,SynergisticIT,https://www.linkedin.com/jobs/view/4045408578/,"Fremont, CA",,10.0,
4172594770,"Senior Data Scientist, Finance",Brex,https://www.linkedin.com/jobs/view/4172594770/,"San Francisco, CA",,10.0,
4160778468,Machine Learning (ML) Engineer,Vectara,https://www.linkedin.com/jobs/view/4160778468/,"San Francisco, CA",,10.0,
4179521487,Data Scientist,Altera Digital Health,https://www.linkedin.com/jobs/view/4179521487/,"Whittier, CA",,10.0,
4120824556,"Data Scientist, Product Analytics",Meta,https://www.linkedin.com/jobs/view/4120824556/,"Sunnyvale, CA",,10.0,
4133286501,"Distinguished Data Scientist, ML/AI",LinkedIn,https://www.linkedin.com/jobs/view/4133286501/,"Sunnyvale, CA",,10.0,
4131893925,Data Science Intern,Hewlett Packard Enterprise,https://www.linkedin.com/jobs/view/4131893925/,"Roseville, CA",,10.0,
4105129647,Data Scientist - Growth,Slope,https://www.linkedin.com/jobs/view/4105129647/,"San Francisco, CA",,10.0,
4160252928,Data Scientist,DRISHTICON Inc,https://www.linkedin.com/jobs/view/4160252928/,"Sunnyvale, CA",,10.0,
4083784202,Machine Learning Engineer,Arc Institute,https://www.linkedin.com/jobs/view/4083784202/,"Palo Alto, CA",,10.0,
4045413248,Data Scientist (Remote),SynergisticIT,https://www.linkedin.com/jobs/view/4045413248/,"San Diego, CA",,10.0,
4172904995,Machine Learning Engineers (Open-Endedness) - Open Level,Flagship Pioneering,https://www.linkedin.com/jobs/view/4172904995/,"San Francisco, CA",,10.0,
4143866735,Machine Learning Engineer,Zendar,https://www.linkedin.com/jobs/view/4143866735/,"Berkeley, CA",,10.0,
3771062380,Machine Learning Engineer,Kaedim,https://www.linkedin.com/jobs/view/3771062380/,"San Francisco, CA",,10.0,
4158726701,Staff Data Scientist,GoFundMe,https://www.linkedin.com/jobs/view/4158726701/,"San Francisco, CA",,10.0,
4168682016,Data Scientist,CCS Global Tech,https://www.linkedin.com/jobs/view/4168682016/,"Los Angeles, CA",,10.0,
4076506697,"Data Scientist, Product Analytics",TikTok,https://www.linkedin.com/jobs/view/4076506697/,"Mountain View, CA",,10.0,
4132134627,Machine Learning Engineer,Reducto,https://www.linkedin.com/jobs/view/4132134627/,"San Francisco, CA",,10.0,
4176318152,Machine Learning Engineering Internship,Keysight Technologies,https://www.linkedin.com/jobs/view/4176318152/,"Santa Clara, CA",,10.0,
4159264315,Machine Learning Engineer- Data Scientist,"Inuvo, Inc",https://www.linkedin.com/jobs/view/4159264315/,"San Jose, CA",,10.0,
4165611239,Senior Data Scientist,Roku,https://www.linkedin.com/jobs/view/4165611239/,"Santa Monica, CA",,10.0,
4140048474,"Data Science Manager, Analytics",Meta,https://www.linkedin.com/jobs/view/4140048474/,"Burlingame, CA",,10.0,
4140100893,"Data Scientist, Decisions - Driver Segments",Lyft,https://www.linkedin.com/jobs/view/4140100893/,"San Francisco County, CA",,10.0,
4167318851,Analytics Lead,"Qventus, Inc",https://www.linkedin.com/jobs/view/4167318851/,"Mountain View, CA",,10.0,
4168387696,AI/ML Engineer,Diversify World,https://www.linkedin.com/jobs/view/4168387696/,"San Jose, CA",,10.0,
4167581524,Machine Learning Engineer,Big Cloud,https://www.linkedin.com/jobs/view/4167581524/,"San Francisco, CA",,10.0,
